company_name,job_count
LeadSquared,1
Learntastic,1
Leegality,1
Lingaro,1
Lingaro Group,1
Lloyds Bank,1
Lokal App,1
Louis Dreyfus Company,1
Lowe's Home Centers,1
Lumilens,1
Lumoslogic,1
Luxoft India Llp,1
M&G Global Services,1
MCTC,1
METRO Global Solution Center IN,1
MRI Software,1
MSCI,1
MSCI Recruitment 2026 – Associate Software Engineer (AI & Python ...,1
MTAB Technology Center P Ltd,1
MUFG Americas,1
MUFG Bank,1
MUFG Global Service (MGS),1
MYK LATICRETE,1
Maersk,1
"Magna International, Inc",1
Magnera Corporation,1
Makro Group,1
Mantra Aura,1
Mapps It Services,1
Marriott Tech Accelerator,1
Mashreq Bank,1
Mattel,1
Mattel Inc,1
Mavenbmc Faridabad,1
Mayura Consultancy Services,1
McKinsey & Company,1
Medhavi WISE,1
MediaMint,1
MediaRadar,1
"Medpace, Inc.",1
Mepa2z Llp,1
Mercer,1
Micro Academy India Private Limited,1
Microsoft,1
Miles Education,1
Millenium Infotech,1
Milliman,1
MiraTech,1
Mlops Solutions Pvt Ltd,1
Modern Healthcare Financial Experiences are Built with Zelis,1
Momentive,1
Momentum Group Limited,1
MongoDB,1
MoonPay,1
Mott Macdonald,1
Moving Walls,1
Mspire Ventures,1
MyCareernet Hiring Now,1
Myntra,1
NAM Info Pvt Ltd,1
NMIMS,1
NSM Services,1
NTT,1
NTT DATA North America,1
NanoNets,1
Navan,1
Navrang HR Solutions,1
NebuLogic Technologies,1
Nestle,1
Netomi,1
Neudesic Technologies Private Limited,1
Newfold Digital Philippines Inc,1
Newmark,1
News Corp,1
NextWave Consulting Ltd,1
Nifty’s,1
Nirmitee.io,1
Nitika Pharmaceutical Specialities,1
Novel Office,1
Novrelease,1
NuageCX Consulting,1
Numerix,1
ONIT,1
Oaktree Capital Management,1
OculusIT,1
Oddup,1
Old National Bank,1
Onity Group Inc.,1
OnlineJobs.PH,1
Onzestt Services India Private Limited,1
Opalus Investments LLC,1
Opella Healthcare IN P.,1
Optum India,1
Orange,1
Otsuka Pharmaceutical India Pvt Ltd,1
Ouryahoo,1
Outpost VFX,1
Owens & Minor,1
PIPEx,1
PNB MetLife,1
PVH Corp.,1
PaisaSmart,1
Parker Group,1
PassionMojo,1
Pavago,1
Pearce Services Global (PSG),1
Pearl,1
Pearson,1
Pennant Technologies Private Limited,1
Peopleclick Techno Solutions Pvt.ltd,1
Peoplefy Infosolutions Private Limited,1
PepsiCo,1
Perceptive Analytics,1
Pericent BPMDMS software,1
Persistent Systems,1
Petrofac,1
Phenom People,1
Pilot Thomas Logistics,1
PineBridge Investments,1
Pinnacle Reliability India,1
Piramal Pharma,1
PlaySimple Games,1
Plum Benefits,1
Pmc Rubber Chemicals,1
Point72,1
Pointo,1
Policy Planner,1
Precision AQ,1
Pretium Enterprise Services,1
PrismHR,1
Private Limited,1
ProArch,1
ProcDNA,1
"Propel Consulting Services, Inc.",1
Pss Global,1
PulsePoint,1
Q2 Software,1
QAgile Services,1
Qnity,1
Quantum IT Innovation,1
